Class,Pixel Count,Area (ha),Pct of Cropland
Regular Rotation,"1,319,131","118,722",68.3%
Monoculture,"480,567","43,251",24.9%
Irregular,"132,529","11,928",6.9%
Total Cropland,"1,932,227","173,900",100.0%
